date,ADA,AURORA,AVAX,BNB,BTC,DOGE,ETH,HBAR,LINK,LTC,NEAR,SOL,UNDEAD,stable
2025-05-14,$3917.36,$0.00,$15208.31,$24440.41,$79754.60,$4425.55,$18693.39,$0.00,$1294.63,$3860.72,$0.00,$834.69,$0.00,$35555.33
2025-05-13,$1869.01,$0.00,$14461.50,$25122.82,$77938.04,$5252.36,$20146.16,$0.00,$1265.81,$3362.32,$0.00,$1761.65,$0.00,$33503.19
2025-05-12,$1962.46,$0.00,$14863.40,$26499.24,$77706.48,$5566.58,$21458.17,$0.00,$1314.35,$3351.20,$0.00,$1769.13,$0.00,$33084.55
2025-05-11,$1869.01,$0.00,$14639.35,$25294.68,$78215.76,$5367.04,$21242.75,$0.00,$1262.02,$3314.58,$0.00,$1758.02,$0.00,$33084.55
2025-05-10,$3014.78,$0.00,$14875.23,$24974.83,$74140.20,$11041.03,$21825.94,$0.00,$1284.77,$3394.68,$0.00,$1793.68,$0.00,$27112.80
2025-05-09,$2940.34,$0.00,$14859.81,$20328.95,$73303.42,$9383.73,$20122.68,$0.00,$97.20,$3219.77,$0.00,$1727.71,$0.00,$25950.46
2025-05-08,$2679.80,$0.00,$14137.56,$22159.48,$68120.25,$9293.76,$18530.46,$0.00,$2871.43,$3715.11,$0.00,$1566.08,$0.00,$23115.96
2025-05-07,$2530.93,$0.00,$13405.08,$19539.21,$67461.24,$9229.55,$18952.40,$0.00,$2664.95,$3670.35,$0.00,$1487.49,$0.00,$21576.69
2025-05-06,$2419.27,$0.00,$13323.18,$19107.04,$65325.11,$8861.44,$18375.69,$0.00,$2572.32,$3302.18,$0.00,$1444.15,$0.00,$21576.59
2025-05-05,$2493.71,$0.00,$13316.34,$19137.22,$65617.15,$9122.85,$18694.94,$0.00,$2657.23,$3559.05,$0.00,$1461.43,$0.00,$21576.50
2025-05-04,$2568.15,$0.00,$12085.68,$13078.11,$71282.36,$8730.50,$21891.63,$0.00,$2715.12,$4506.72,$0.00,$1471.63,$0.00,$19664.12
2025-05-03,$2605.37,$0.00,$11648.88,$13220.51,$71582.52,$8785.63,$22643.29,$0.00,$2738.28,$4499.92,$0.00,$1479.81,$0.00,$19718.78
2025-05-02,$2642.58,$0.00,$12120.74,$13188.33,$72995.84,$9081.32,$22117.64,$0.00,$2815.47,$4643.81,$0.00,$1518.00,$0.00,$19718.63
2025-05-01,$2605.37,$0.00,$12109.48,$13298.11,$72386.18,$8920.95,$22149.96,$0.00,$2865.64,$4526.60,$0.00,$1530.52,$0.00,$19718.63
2025-04-30,$2605.37,$0.00,$12308.82,$13275.40,$71629.01,$8810.69,$21891.59,$0.00,$2821.25,$4451.78,$0.00,$1494.06,$0.00,$19718.63
2025-04-29,$2642.58,$0.00,$12524.69,$13291.27,$71486.76,$8930.97,$22067.34,$0.00,$2888.80,$4469.05,$0.00,$1498.70,$0.00,$19557.23
2025-04-28,$2679.80,$0.00,$12604.24,$13381.87,$71756.96,$9076.31,$21839.00,$0.00,$2875.29,$4558.52,$0.00,$1527.19,$0.00,$19557.23
2025-04-27,$2568.15,$0.00,$13208.66,$13225.14,$71715.43,$9031.20,$22686.60,$0.00,$2805.82,$4499.40,$0.00,$1493.96,$0.00,$22558.37
2025-04-26,$2642.58,$0.00,$13071.07,$13307.81,$71891.88,$9086.33,$22521.78,$0.00,$2852.13,$4491.02,$0.00,$1501.94,$0.00,$22477.24
2025-04-25,$2642.58,$0.00,$13340.53,$13312.21,$72101.94,$9041.23,$22284.16,$0.00,$2883.01,$4474.28,$0.00,$1549.82,$0.00,$22477.24
2025-04-24,$2568.15,$0.00,$13130.66,$13161.43,$70664.36,$8680.38,$22007.20,$0.00,$2778.80,$4262.37,$0.00,$1487.39,$0.00,$22477.24
2025-04-23,$2605.37,$0.00,$13615.38,$13489.23,$71576.41,$9176.55,$22762.79,$0.00,$2904.23,$4415.68,$0.00,$1537.39,$0.00,$22477.24
2025-04-22,$2382.05,$0.00,$12209.66,$13360.93,$67823.02,$8244.36,$20557.92,$0.00,$2597.41,$4183.35,$0.00,$1419.81,$0.00,$22476.55
2025-04-21,$2382.05,$0.00,$12317.31,$13271.65,$66708.53,$8109.04,$20505.56,$0.00,$2593.55,$4206.38,$0.00,$1403.14,$0.00,$22476.55
2025-04-20,$2307.61,$0.00,$13213.63,$9699.98,$67067.67,$7701.14,$19905.63,$0.00,$3486.97,$4503.24,$0.00,$1380.51,$0.00,$15847.88
2025-04-19,$2344.83,$0.00,$13322.94,$9709.18,$67861.69,$7932.07,$20186.96,$0.00,$3435.77,$4515.72,$0.00,$1401.73,$0.00,$15847.88
2025-04-18,$2307.61,$0.00,$13056.56,$9721.83,$67398.18,$7831.67,$20142.70,$0.00,$3381.88,$4506.21,$0.00,$1362.53,$0.00,$15847.88
2025-04-17,$2307.61,$0.00,$13193.11,$9643.95,$67524.01,$7871.83,$20227.29,$0.00,$3368.40,$4480.66,$0.00,$1354.96,$0.00,$15847.88
2025-04-16,$2270.39,$0.00,$14528.27,$9536.83,$66880.89,$7696.12,$19894.94,$0.00,$3274.09,$4401.64,$0.00,$1267.88,$0.00,$14039.62
2025-04-15,$2382.05,$0.00,$15482.03,$9690.12,$68701.47,$8077.66,$20845.98,$0.00,$3443.86,$4628.02,$0.00,$1350.71,$0.00,$14038.75
2025-04-14,$2419.27,$0.00,$15704.52,$9716.57,$67599.56,$8318.63,$21101.17,$0.00,$3540.87,$4668.42,$0.00,$1343.44,$0.00,$14038.75
2025-04-13,$2419.27,$0.00,$15304.80,$9646.58,$67190.83,$8263.41,$20234.10,$0.00,$3457.33,$4673.77,$0.00,$1308.49,$0.00,$14038.08
2025-04-12,$2382.05,$0.00,$14728.22,$9697.02,$66653.02,$8142.92,$20151.27,$0.00,$3441.16,$4535.92,$0.00,$1262.02,$0.00,$14038.08
2025-04-11,$2344.83,$0.00,$14935.57,$9682.07,$60796.56,$8047.54,$19834.71,$0.00,$3430.38,$4568.00,$0.00,$1220.00,$0.00,$14037.76
