date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-08-27	0.00000	0.00098	$111,933.00	$83,656.00	$110.17	100.00%	$110.17	0.00000	$2.25	$0.00	$100.00	$0.00	0.00000	$10.17	10.17%	20.17%
2025-08-26	0.00000	0.00098	$109,645.00	$83,656.00	$107.92	100.00%	$107.92	0.00000	-$1.72	$0.00	$100.00	$0.00	0.00000	$7.92	7.92%	15.79%
2025-08-25	0.00000	0.00098	$111,395.00	$83,656.00	$109.64	100.00%	$109.64	0.00000	-$3.25	$0.00	$100.00	$0.00	0.00000	$9.64	9.64%	19.33%
2025-08-24	0.00000	0.00098	$114,701.00	$83,656.00	$112.89	100.00%	$112.89	0.00000	-$0.47	$0.00	$100.00	$0.00	0.00000	$12.89	12.89%	26.00%
2025-08-23	0.00000	0.00098	$115,180.00	$83,656.00	$113.36	100.00%	$113.36	0.00000	$3.36	$0.00	$100.00	$0.00	0.00000	$13.36	13.36%	27.10%
2025-08-22	-0.00001	0.00098	$111,769.00	$83,656.00	$110.01	100.00%	$110.01	-0.00001	-$2.38	$0.00	$100.00	$0.00	0.00000	$10.01	10.01%	20.41%
2025-08-21	0.00000	0.00099	$113,153.00	$83,656.00	$112.38	100.00%	$112.38	0.00000	-$0.69	$0.00	$100.00	$0.00	0.00000	$12.38	12.38%	25.39%
2025-08-20	0.00000	0.00099	$113,847.00	$83,656.00	$113.07	100.00%	$113.07	0.00000	-$0.71	$0.00	$100.00	$0.00	0.00000	$13.07	13.07%	26.96%
2025-08-19	0.00000	0.00099	$114,561.00	$83,656.00	$113.78	100.00%	$113.78	0.00000	-$0.67	$0.00	$100.00	$0.00	0.00000	$13.78	13.78%	28.58%
2025-08-18	0.00000	0.00099	$115,240.00	$83,656.00	$114.46	100.00%	$114.46	0.00000	-$3.05	$0.00	$100.00	$0.00	0.00000	$14.46	14.46%	30.15%
2025-08-17	0.00000	0.00099	$118,311.00	$83,656.00	$117.51	100.00%	$117.51	0.00000	$0.85	$0.00	$100.00	$0.00	0.00000	$17.51	17.51%	36.72%
2025-08-16	0.00000	0.00099	$117,453.00	$83,656.00	$116.65	100.00%	$116.65	0.00000	-$1.31	$0.00	$100.00	$0.00	0.00000	$16.65	16.65%	35.14%
2025-08-15	0.00000	0.00099	$118,774.00	$83,656.00	$117.97	100.00%	$117.97	0.00000	-$2.19	$0.00	$100.00	$0.00	0.00000	$17.97	17.97%	38.13%
2025-08-14	0.00000	0.00099	$120,983.00	$83,656.00	$120.16	100.00%	$120.16	0.00000	$0.60	$0.00	$100.00	$0.00	0.00000	$20.16	20.16%	43.03%
2025-08-13	0.00000	0.00099	$120,380.00	$83,656.00	$119.56	100.00%	$119.56	0.00000	$1.49	$0.00	$100.00	$0.00	0.00000	$19.56	19.56%	42.00%
2025-08-12	0.00000	0.00099	$118,881.00	$83,656.00	$118.07	100.00%	$118.07	0.00000	-$1.00	$0.00	$100.00	$0.00	0.00000	$18.07	18.07%	39.03%
2025-08-11	0.00000	0.00099	$119,887.00	$83,656.00	$119.07	100.00%	$119.07	0.00000	$1.51	$0.00	$100.00	$0.00	0.00000	$19.07	19.07%	41.44%
2025-08-10	0.00000	0.00099	$118,367.00	$83,656.00	$117.56	100.00%	$117.56	0.00000	$1.61	$0.00	$100.00	$0.00	0.00000	$17.56	17.56%	38.38%
2025-08-09	0.00000	0.00099	$116,746.00	$83,656.00	$115.95	100.00%	$115.95	0.00000	$0.20	$0.00	$100.00	$0.00	0.00000	$15.95	15.95%	35.08%
2025-08-08	0.00000	0.00099	$116,549.00	$83,656.00	$115.76	100.00%	$115.76	0.00000	$0.16	$0.00	$100.00	$0.00	0.00000	$15.76	15.76%	34.86%
2025-08-07	0.00000	0.00099	$116,384.00	$83,656.00	$115.59	100.00%	$115.59	0.00000	$2.48	$0.00	$100.00	$0.00	0.00000	$15.59	15.59%	34.70%
